effect_id,study_id_str,outcome_id_str,sex_of_animals,disease_cohort_str,control_cohort_str,time,d.mean,d.sd,d.n,c.mean,c.sd,c.n,title,authors,breeder_strain,GD_first_administration,cross.fost,poly_I_C_daily_dose_mg_kg,intervention.no,year,ro_b_assessment_blinding_of_animal_carers_handlers,ro_b_assessment_blinding_of_outcome_assessors,ro_b_assessment_random_housing,ro_b_assessment_a_priori_power_calculations,ro_b_assessment_conflict_of_interest,ro_b_assessment_unit_of_analysis_error,ro_b_assessment_random_outcome_assessment,ro_b_assessment_presence_of_sequence_generation,ro_b_assessment_baseline_characteristics,ro_b_assessment_allocation_concealment,ro_b_assessment_incomplete_outcome_data,species_of_animal,strain,outcome_label,prepulse_intensity_d_b,pulse_intensity_d_b,prepulse_duration_ms,interstimulus_interval_ms,is_this_ppi_for_a_specific_pre_pulse_intensity_or_averaged_across_multiple,is_this_ppi_for_a_specific_pulse_intensity_or_is_it_averaged_across_multiple,disease_model,acute_or_chronic,duration_days_if_chronic,administration_route,frequency_of_administration_if_chronic,sham_equivalent,vehicle,author,background_db,pre_pulse_level_above_back,d.mean.adj,c.mean.adj,developmental_stage_PPI,polyIC.dose.cat,SMD,SMDV,same_coh_same_PPI_param_diff_time,same_cohort_diff_PPI_param
23,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,8f0ad823-1744-4958-97ce-ed793faa9076,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,56,41.2,12.3,9,44.8,13.75790682,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,73dB : 120dB : 20ms: 100ms,73,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,8,58.8,55.2,adolescent,moderate,0.262885441,0.256127903,217,67
24,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,6d40a5be-029a-402f-a5fd-33a02e1bb1d9,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,112,18.9,18,9,45.5,16.139083,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,81dB : 120dB : 20ms: 100ms,81,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,16,81.1,54.5,adult,moderate,1.459599037,0.320544171,215,67
25,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,8f0ad823-1744-4958-97ce-ed793faa9076,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,112,30,15.3,9,46.2,8.466404195,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,73dB : 120dB : 20ms: 100ms,73,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,8,70,53.8,adult,moderate,1.194029186,0.298521557,217,67
26,3ff404f2-9ce9-4666-b68b-0df89aad991c,8e55423b-12fe-4118-9941-64c1fef7b755,mixed ,edbe236c-7181-408c-86c2-5e6f2a3983b0,90b494e4-5522-4fc7-bcc7-361b4a0cc794,70,58.4,10.04589468,12,53,13.16358614,12,Preventive effects of minocycline in a neurodevelopmental two-hit model with relevance to schizophrenia.,Giovanoli S and Engler H and Engler A and Richetto J and Feldon J and Riva MA and Schedlowski M and Meyer U ,0,9,0,1,0,2016,unclear RoB,unclear RoB,low RoB,unclear RoB,low RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6J,"69, 73, 77, 81, 85dB : 120dB : 20ms : 100ms","69, 73, 77, 81, 85",120,20,100,%PPI averaged across multiple pre-pulse intensities ,%PPI for specific pulse intensity ,1mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Giovanoli S and Engler H and Engler A and Richetto J and Feldon J and Riva MA and Schedlowski M and Meyer U ,65,NA,41.6,47,adult,low,-0.445251217,0.170796847,8,1
47,4483a8ec-caae-429c-9e53-95cdc16a29c9,0b1435f1-4ebc-416e-91ca-b8018b3a6d7f,male,b0d29281-a37a-4f2e-8cb3-e5983f2125c1,7c38f9ee-5c48-493a-bfc0-904516e4aea9,50,40.7,5.1,7,50.9,5.8,7,A two-hit model of suicide-trait-related behaviors in the context of a schizophrenia-like phenotype: Distinct effects of lithium chloride and clozapine.,Deslauriers J and Belleville K and Beaudet N and Sarret P and Grignon S ,0,12,0,20,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6,"75, 79, 83, 87dB : 120dB : 20ms : 100ms","75, 79, 83, 87, 120",120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD12,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Deslauriers J and Belleville K and Beaudet N and Sarret P and Grignon S ,71,NA,59.3,49.1,adolescent,high,1.748069921,0.394848159,9,2
48,4483a8ec-caae-429c-9e53-95cdc16a29c9,0b1435f1-4ebc-416e-91ca-b8018b3a6d7f,female ,b18b64b3-ddd1-489a-98aa-b904f34b96e6,9c372c5d-d2b1-46a3-93a7-c5f68326ad20,50,46.4,10.4,7,40.3,13.1,7,A two-hit model of suicide-trait-related behaviors in the context of a schizophrenia-like phenotype: Distinct effects of lithium chloride and clozapine.,Deslauriers J and Belleville K and Beaudet N and Sarret P and Grignon S ,0,12,0,20,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6,"75, 79, 83, 87dB : 120dB : 20ms : 100ms","75, 79, 83, 87, 120",120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,20mg/kg : GD12,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Deslauriers J and Belleville K and Beaudet N and Sarret P and Grignon S ,71,NA,53.6,59.7,adolescent,high,-0.48271758,0.294036295,10,3
59,57bd3e24-64b6-4906-8502-9d6fd0297d6c,00530786-698e-43c1-bd90-8b19914993c5,male,5ac38f2e-8870-4995-bace-c9c3a6939c79,0290ee7f-9ed4-47d8-a7f9-5b5e31460088,70,63.7,14.4,16,63.7,11.6,16,"Intake of 7,8-Dihydroxyflavone During Juvenile and Adolescent Stages Prevents Onset of Psychosis in Adult Offspring After Maternal Immune Activation.",Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,0,12,0,5,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,mouse,ddY,73dB : ? dB : 20ms : 100ms,73,NA,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD12-17,chronic ,6,ip,od,administration of vehicle used in the polyI:C preparation,PBS,Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,65,8,36.3,36.3,adult,moderate,0,0.125,11,68
60,57bd3e24-64b6-4906-8502-9d6fd0297d6c,fadb13f0-37e3-4225-a99d-820b5d6affdd,male,5ac38f2e-8870-4995-bace-c9c3a6939c79,0290ee7f-9ed4-47d8-a7f9-5b5e31460088,70,76.7,10.8,16,77.8,12.4,16,"Intake of 7,8-Dihydroxyflavone During Juvenile and Adolescent Stages Prevents Onset of Psychosis in Adult Offspring After Maternal Immune Activation.",Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,0,12,0,5,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,mouse,ddY,81dB : ? dB : 20ms : 100ms,81,NA,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD12-17,chronic ,6,ip,od,administration of vehicle used in the polyI:C preparation,PBS,Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,65,16,23.3,22.2,adult,moderate,0.092214568,0.125132868,12,68
61,57bd3e24-64b6-4906-8502-9d6fd0297d6c,cdc9b8c8-3144-4150-b148-2a662ce81561,male,5ac38f2e-8870-4995-bace-c9c3a6939c79,0290ee7f-9ed4-47d8-a7f9-5b5e31460088,70,43.7,16.4,16,38.6,11.6,16,"Intake of 7,8-Dihydroxyflavone During Juvenile and Adolescent Stages Prevents Onset of Psychosis in Adult Offspring After Maternal Immune Activation.",Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,0,12,0,5,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,mouse,ddY,69dB : ? dB : 20ms : 100ms,69,NA,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD12-17,chronic ,6,ip,od,administration of vehicle used in the polyI:C preparation,PBS,Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,65,4,56.3,61.4,adult,moderate,-0.349983714,0.126913884,13,68
62,57bd3e24-64b6-4906-8502-9d6fd0297d6c,ff61869b-4b31-4683-a5b8-874759052cf8,male,5ac38f2e-8870-4995-bace-c9c3a6939c79,0290ee7f-9ed4-47d8-a7f9-5b5e31460088,70,70.2,13.2,16,73.5,10,16,"Intake of 7,8-Dihydroxyflavone During Juvenile and Adolescent Stages Prevents Onset of Psychosis in Adult Offspring After Maternal Immune Activation.",Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,0,12,0,5,0,2016,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,mouse,ddY,77dB : ? dB : 20ms : 100ms,77,NA,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD12-17,chronic ,6,ip,od,administration of vehicle used in the polyI:C preparation,PBS,Han M and Zhang JC and Yao W and Yang C and Ishima T and Ren Q and Ma M and Dong C and Huang XF and Hashimoto K ,65,12,29.8,26.5,adult,moderate,0.274700046,0.126179064,14,68
63,5ed075f7-3e83-4579-b37a-9d8008d11a0c,353d4a56-af3d-4ac2-8e78-5a08303dddfc,mixed ,8d09f741-c535-4ccb-85fb-dd91175dfe4c,4e3ff623-70b0-4ffb-bb04-6bc3449f0e20,56,40.2,22.04540769,24,34.3,16.62768775,27,Inter-breeder differences in prepulse inhibition deficits of C57BL/6J mice in a maternal immune activation model.,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",3,15,0,2,0,2021,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6J,79dB : 120dB : ? ms : 15000ms,79,120,NA,15000,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,2mg/kg : GD15,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",70,9,59.8,65.7,adolescent,low,-0.300052934,0.079586368,15,69
64,5ed075f7-3e83-4579-b37a-9d8008d11a0c,9d6f4c3e-adac-47bb-9652-c69bbb59c1bb,mixed ,0dc8c0f2-26be-479f-9b49-f3993513e31c,f24e285a-cdc0-4a60-bbd8-865ee980729d,56,16.5,21.85749299,39,27.1,13.60624856,17,Inter-breeder differences in prepulse inhibition deficits of C57BL/6J mice in a maternal immune activation model.,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",1,15,0,2,0,2021,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6J,76dB : 120dB : ? ms : 15000ms,76,120,NA,15000,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,2mg/kg : GD15,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",70,6,83.5,72.9,adolescent,low,0.528546951,0.086958858,16,70
65,5ed075f7-3e83-4579-b37a-9d8008d11a0c,353d4a56-af3d-4ac2-8e78-5a08303dddfc,mixed ,ae90060d-5804-4722-ab43-22b56fcc87c7,1d02c245-f696-459b-81b0-11b1f050e73d,56,35.2,16.08912676,14,39.8,27.95371174,21,Inter-breeder differences in prepulse inhibition deficits of C57BL/6J mice in a maternal immune activation model.,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",2,15,0,2,0,2021,unclear RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,high RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,mouse,C57BL/6J,79dB : 120dB : ? ms : 15000ms,79,120,NA,15000,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,2mg/kg : GD15,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Kobayashi, Yutaro and Inaba, Hiroyoshi and Iwakura, Yuriko and Namba, Hisaaki and Sotoyama, Hidekazu and Murata, Yui and Iwamoto, Kazuya and Nawa, Hiroyuki ",70,9,64.8,60.2,adolescent,low,0.187343797,0.119549015,17,71
